Model;Make;Model;VehicleClass;EngineSize;Cylinders;Transmission;Fuel;FuelConsumption;CO2 Emissions;CO2;Smog
2021;Acura;ILX;Compact;2.4;4;AM8;Z;9.9;199;6;3
2021;Acura;NSX;Two-seater;3.5;6;AM9;Z;11.1;256;4;3
2021;Acura;RDX SH-AWD;SUV: Small;2.0;4;AS10;Z;11.0;232;5;6
2021;Acura;RDX SH-AWD A-SPEC;SUV: Small;2.0;4;AS10;Z;11.3;242;5;6
2021;Acura;TLX SH-AWD;Compact;2.0;4;AS10;Z;11.2;230;5;7
2021;Acura;TLX SH-AWD A-SPEC;Compact;2.0;4;AS10;Z;11.3;231;5;7
2021;Acura;TLX Type S;Compact;3.0;6;AS10;Z;12.3;256;4;5
2021;Acura;TLX Type S (Performance Tire);Compact;3.0;6;AS10;Z;12.3;261;4;5
2021;Alfa Romeo;Giulia;Mid-size;2.0;4;A8;Z;10.0;205;6;3
2021;Alfa Romeo;Giulia AWD;Mid-size;2.0;4;A8;Z;10.5;217;5;3
2021;Alfa Romeo;Giulia Quadrifoglio;Mid-size;2.9;6;A8;Z;13.5;271;4;3
2021;Alfa Romeo;Stelvio;SUV: Small;2.0;4;A8;Z;10.3;218;5;3
2021;Alfa Romeo;Stelvio AWD;SUV: Small;2.0;4;A8;Z;10.8;226;5;3
2021;Alfa Romeo;Stelvio AWD Quadrifoglio;SUV: Small;2.9;6;A8;Z;13.9;288;3;3
2021;Aston Martin;DB11 V8;Minicompact;4.0;8;A8;Z;13.0;271;4;3
2021;Aston Martin;DB11 AMR;Minicompact;5.2;12;A8;Z;15.5;312;3;3
2021;Aston Martin;DBS Superleggera;Minicompact;5.2;12;A8;Z;16.4;324;3;3
2021;Aston Martin;DBX V8;SUV: Standard;4.0;8;A9;Z;17.1;357;2;3
2021;Aston Martin;Vantage V8;Two-seater;4.0;8;A8;Z;13.1;270;4;3
2021;Aston Martin;Vantage V8;Two-seater;4.0;8;M7;Z;16.7;333;3;3
2021;Audi;A4 allroad 45 TFSI quattro;Station wagon: Small;2.0;4;AM7;Z;9.8;208;6;5
2021;Audi;A4 Sedan 40 TFSI quattro;Compact;2.0;4;AM7;Z;9.3;194;6;5
2021;Audi;A4 Sedan 45 TFSI quattro;Compact;2.0;4;AM7;Z;9.8;205;6;5
2021;Audi;A5 Cabriolet 45 TFSI quattro;Subcompact;2.0;4;AM7;Z;10.4;212;5;5
2021;Audi;A5 Coupe 45 TFSI quattro;Subcompact;2.0;4;AM7;Z;9.8;205;6;5
2021;Audi;A5 Sportback 45 TFSI quattro;Mid-size;2.0;4;AM7;Z;9.8;205;6;5
2021;Audi;A6 allroad 55 TFSI quattro;Station wagon: Mid-size;3.0;6;AM7;Z;11.8;247;4;5
2021;Audi;A6 Sedan 45 TFSI quattro;Mid-size;2.0;4;AM7;Z;10.3;214;5;5
2021;Audi;A6 Sedan 55 TFSI quattro;Mid-size;3.0;6;AM7;Z;10.9;227;5;5
2021;Audi;A7 Sportback 55 TFSI quattro;Mid-size;3.0;6;AM7;Z;10.9;227;5;5
2021;Audi;A8 L Sedan 55 TFSI quattro;Full-size;3.0;6;AS8;Z;13.5;267;4;5
2021;Audi;A8 L Sedan 60 TFSI quattro;Full-size;4.0;8;AS8;Z;15.4;308;3;3
2021;Audi;Q3 40 TFSI quattro;SUV: Small;2.0;4;AS8;X;10.6;218;5;7
2021;Audi;Q3 45 TFSI quattro;SUV: Small;2.0;4;AS8;X;11.7;239;5;7
2021;Audi;Q5 45 TFSI quattro;SUV: Small;2.0;4;AM7;Z;10.1;217;5;5
2021;Audi;Q5 Sportback 45 TFSI quattro;SUV: Small;2.0;4;AM7;Z;10.1;217;5;5
2021;Audi;Q7 45 TFSI quattro;SUV: Standard;2.0;4;AS8;Z;12.4;264;4;3
2021;Audi;Q7 55 TFSI quattro;SUV: Standard;3.0;6;AS8;Z;13.4;281;4;5
2021;Audi;Q8 55 TFSI quattro;SUV: Standard;3.0;6;AS8;Z;13.4;281;4;5
2021;Audi;R8 Coupe;Two-seater;5.2;10;AM7;Z;17.2;329;3;1
2021;Audi;R8 Coupe quattro;Two-seater;5.2;10;AM7;Z;17.6;353;2;1
